Date,Peak Dst (nT),Notes,,,
2000-02-12,-133,,,,
2000-01-23,-97,,,,
2000-04-06,-300,,,,
2000-05-24,-147,,,,
2000-07-15,-300,(The,Bastille,Day,Storm)
2000-08-12,-235,,,,
2000-09-17,-201,,,,
2001-03-31,-387,,,,
2003-10-29,-338,(Halloween,storm),,
2003-10-30,-383,(Halloween,storm),,
2003-11-20,-422,,,,
2006-12-16,-160,,,,
2009-07-22,-80,,,,
2010-04-06,-73,,,,
2010-05-02,-64,,,,
2010-05-29,-85,,,,
2010-10-11,-78,,,,
2011-03-11,-80,,,,
2011-08-06,-110,,,,
2011-10-25,-140,,,,
2011-09-27,-100,,,,
2012-03-07,-90,,,,
2012-03-09,-130,,,,
2012-04-24,-120,,,,
2012-07-15,-120,,,,
2012-10-01,-120,,,,
2012-11-14,-110,,,,
2013-03-17,-120,,,,
2013-06-29,-110,,,,
2014-04-12,-80,,,,
2014-08-27,-80,,,,
2015-01-17,-100,,,,
2015-3-17,-223,,,,
2015-06-23,-204,,,,
2015-10-07,-124,,,,
2015-12-20,-170,,,,
2015-12-31,-110,,,,
2016-01-20,-102,,,,
2016-03-06,-94,,,,
2016-05-08,-82,,,,
2016-10-13,-104,,,,
2017-5-28,-125,,,,
2017-09-08,-142,,,,
2018-08-26,-174,,,,
2021-11-4,-115,,,,
2023-02-27,-138,,,,
2020-03-24,-184,,,,